priority_rank,asin,suggested_sku,account,impressions,clicks,conversions,units_sold,assigned_PH
195,B0GRGDFKXK,IMBLCPK,LEDSone UK,28,1,1,2,
196,B07SSFZFBM,24IP6780,LEDSone UK,27,0,1,2,
197,B0CSDNWDPY,STBFT50M48EWH6PK,LEDSone UK,26,0,1,2,
198,B0DNSZ74XQ,PSOS2YBRPB,LEDSone UK,20,0,1,2,
199,B09C23537M,CRSF2003BC+PHSH1PBRYB3PK+LSDO210BC3PK,LEDSone UK,15,0,1,2,
200,B093X1R3NK,PHHT1FBRBM+LSHM300HE,LEDSone UK,14,0,1,2,
201,B0CG1VJLT9,CRFF108CO2PK+LHTKE27CO2PK,LEDSone UK,4,0,1,2,
202,B0DV5FSQVT,ENC8213,LEDSone UK,3,0,1,2,
203,B0DKFXCR8Q,LHSQE27CO,LEDSone UK,1,0,1,2,
204,B0F43VJ1MN,LSCY290BU+RPR44WH,LEDSone UK,1,0,1,2,
205,B0F4436F1J,CENU25200WH2PK,DCVoltage UK,1,0,1,2,
206,B0CN4NF89Q,PLPYBS,DCVoltage UK,1,0,1,2,
207,B0F28Z2V3F,LSCY290GY+RPR44WH,LEDSone UK,2502,14,1,1,
208,B0CKHNKZGB,CRFF500BS+PHNW1RBS3PK+ICST64E273PK,DCVoltage UK,1807,14,1,1,
209,B0CP1VRQL3,LSCY290WH+RPR44WH,DCVoltage UK,916,5,1,1,
210,B08XNTQCK7,LSCY290OR+RPR44WH,DCVoltage UK,880,2,1,1,
211,B0C7QYQ25P,CRSF2003BM+WCRN3CBM3PK,DCVoltage UK,844,4,1,1,
212,B0GYPFYJFN,BS6S66609GY,LEDSone UK,823,12,1,1,
213,B0GVT5JPGR,WCBTC100FG2PK+RPR44WH2PK,LEDSone UK,803,2,1,1,
214,B0G5XLBDKH,CRSF2003BM+PHNW1RBM3PK,DCVoltage UK,765,9,1,1,
215,B0CQNKNK7T,PLTTBC+LSTF40BC,DCVoltage UK,731,4,1,1,
216,B0CMCR651C,CRFF500CH+WCCY1ROCH3PK+LDST45E2743PK,LEDSone UK,713,10,1,1,
217,B0GYPFK619,BS6S6609WH,LEDSone UK,683,8,1,1,
218,B0CF28734Y,WCB4BM+RPR44WH,LEDSone UK,644,4,1,1,
219,B0D9RYF987,ENC7498,DCVoltage UK,638,5,1,1,
220,B0DFBTNZBC,WCDTWH3PK+RPR44WH3PK,DCVoltage UK,590,2,1,1,
221,B0GYP7VWPW,BS6S6628WH,LEDSone UK,586,3,1,1,
222,B08NYRSQGP,PLADBC,LEDSone UK,529,0,1,1,
223,B083LYN9DW,PLDMBC,LEDSone UK,479,6,1,1,
224,B0GY3G4S1F,LSGL1275CL3PK+RPM40WH3PK,DCVoltage UK,462,2,1,1,
225,B09KNTHHN1,CRSF2003BM+PHRB1PBR40BM3PK+LSBS160OR3PK,LEDSone UK,459,1,1,1,
226,B0GXBB57TS,WCBTC120FG+RPR44WH,LEDSone UK,431,10,1,1,
227,B0CN95WHCG,LSMCP1ULMC+ICST64E27,DCVoltage UK,420,2,1,1,
228,B09V8BWNFZ,CRSF2003BM+PHHN1PBRGD3PK+LSDO210NB3PK,LEDSone UK,401,1,1,1,
229,B094D9PTHN,CRFF500BM+PHRI1PCRSN3PK+LSDM220SN3PK,LEDSone UK,321,5,1,1,
230,B095PRHY6W,LSBG136AR+SCRN70FG,DCVoltage UK,318,2,1,1,
231,B094NK21SK,ENC1522,DCVoltage UK,303,2,1,1,
232,B0CNJSDYVG,WCB2WH+RPR44WH,DCVoltage UK,299,3,1,1,
233,B0FGJQKK7Q,ENC6202,LEDSone UK,291,0,1,1,
234,B0DK8TC7L3,LHTOE27SN,LEDSone UK,271,3,1,1,
235,B0DSC2PMD2,LSDO400BM2PK+RPR44WH2PK,DCVoltage UK,233,0,1,1,
236,B08YFK9PL9,CRSF2003YB+PHCH1PBRBC3PK+LSCY210BC3PK,DCVoltage UK,228,4,1,1,
237,B096FR3CD5,PLADBC+ICST64E273PK,DCVoltage UK,222,2,1,1,
238,B0GDMFJZHV,STBFT50M48EWH3PK,LEDSone UK,220,0,1,1,
239,B07MMSXVG2,CL3RPIAPK,LEDSone UK,200,1,1,1,
240,B0FVX4F1PN,WBERT29GR3PK,DCVoltage UK,195,0,1,1,
241,B0DF7CPG15,CRSF100BM3PK,LEDSone UK,193,1,1,1,
242,B0FTS9Y6NR,12IP6710,LEDSone UK,190,0,1,1,
243,B07VVCDNS2,CRSF100BM+PHHT1PBRFG+CNT900BM,DCVoltage UK,188,1,1,1,
244,B08QJQS6VP,PHTT1PBR3BM+LSWT300BM,LEDSone UK,185,1,1,1,
245,B0GXB7RGZK,WCBSF90FG2PK+RPR44WH2PK,LEDSone UK,177,0,1,1,
246,B0H3918NPV,LSGL9015GY5PK+RPM40WH5PK,DCVoltage UK,176,1,1,1,
247,B08V927KBM,CRSF100RO+PHSH1PBRRO+LSDM220RO,DCVoltage UK,173,1,1,1,
248,B0D83C46FP,WCDTBL3PK+RPR44WH3PK,DCVoltage UK,161,0,1,1,
249,B0F2FDYS4Q,LSMS320OR+RPR44WH,LEDSone UK,159,0,1,1,
250,B0GTZJ9GYR,SWHBSP1OSWH,LEDSone UK,148,0,1,1,
251,B09MQTTBCW,WCB7BS+RPR44WH,LEDSone UK,148,0,1,1,
252,B08WRBVLN9,PHCT1BMRBM+PHBA1BMRBM+LSYG410YE,DCVoltage UK,146,2,1,1,
253,B0DSC1QVN6,LSDO400BI2PK+RPR44WH2PK,DCVoltage UK,140,0,1,1,
254,B09V8B973P,CRSF2003BM+PHHN1PBRGD3PK+LSDO210GY3PK,LEDSone UK,136,1,1,1,
255,B08YK34HVV,CRSF2003WH+LSDG220WI3PK,DCVoltage UK,134,4,1,1,
256,B08SW2WJ87,PLDMBM,DCVoltage UK,133,0,1,1,
257,B0CTSLSHXD,LSCO335OR2PK+RPR44WH2PK,DCVoltage UK,129,1,1,1,
258,B0FYJCKYTY,BSFCDRWHPI,DCVoltage UK,128,6,1,1,
259,B0GYPDTDLV,BS6S8033PI,LEDSone UK,127,3,1,1,
260,B0DP2VNVVF,CRSF100SN+PHCHPCRSN+LSCY290SN,LEDSone UK,125,0,1,1,
261,B091FP56Y5,CRSF2003BM+PHHN1PBRGD3PK+LSDO210BI3PK,LEDSone UK,124,0,1,1,
262,B0H2SC8XF1,PCBISR2PK,LEDSone UK,123,8,1,1,
263,B0CF1H4YZN,BLOB1GU300+LDGU10CD5,DCVoltage UK,123,0,1,1,
